ID;concept:name;time:timestamp;case:concept:name;pName;error_case;error_reason
0;receive application;1970-01-01 00:00:00+00:00;Trace 2295;Peter;;
1;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2295;Peter;;
2;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2295;Peter;;
3;receive application;1970-01-01 00:00:00+00:00;Trace 3523;Peter;;
4;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3523;Peter;;
5;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3523;Peter;;
6;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3523;Peter;;
7;review application;1970-01-01 04:00:00+00:00;Trace 3523;Peter;;
8;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3523;Peter;;
9;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3523;Peter;;
10;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 3523;Peter;;
11;receive application;1970-01-01 00:00:00+00:00;Trace 257;Peter;;
12;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 257;Peter;;
13;decline GDPR;1970-01-01 02:00:00+00:00;Trace 257;Peter;;
14;receive application;1970-01-01 00:00:00+00:00;Trace 1677;Hans;;
15;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1677;Hans;;
16;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1677;Hans;;
17;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1677;Hans;;
18;review application;1970-01-01 04:00:00+00:00;Trace 1677;Hans;;
19;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1677;Hans;;
20;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1677;Hans;;
21;hold intervierw;1970-01-01 07:00:00+00:00;Trace 1677;Hans;;
22;send to assessment center;1970-01-01 08:00:00+00:00;Trace 1677;Hans;;
23;decline applicant in assesment center;1970-01-01 09:00:00+00:00;Trace 1677;Hans;;
24;receive application;1970-01-01 00:00:00+00:00;Trace 632;Peter;;
25;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 632;Peter;;
26;decline GDPR;1970-01-01 02:00:00+00:00;Trace 632;Peter;;
27;receive application;1970-01-01 00:00:00+00:00;Trace 1322;Kevin;x;1, 2
28;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1322;Kevin;x;1, 2
29;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 2035;Julian;;
30;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2035;Julian;;
31;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2035;Julian;;
32;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2035;Julian;;
33;review application;1970-01-01 04:00:00+00:00;Trace 2035;Julian;;
34;receive application;1970-01-01 00:00:00+00:00;Trace 2035;Julian;;
35;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 2035;Julian;;
36;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 2035;Julian;;
37;receive application;1970-01-01 00:00:00+00:00;Trace 895;Julian;;
38;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 895;Julian;;
39;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 895;Julian;;
40;notify recruiter;1970-01-01 03:00:00+00:00;Trace 895;Julian;;
41;review application;1970-01-01 04:00:00+00:00;Trace 895;Julian;;
42;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 895;Julian;;
43;receive application;1970-01-01 00:00:00+00:00;Trace 3980;Kevin;x;2
44;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3980;Kevin;x;2
45;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3980;Kevin;x;2
46;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3980;Kevin;x;2
47;review application;1970-01-01 04:00:00+00:00;Trace 3980;Kevin;x;2
48;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3980;Kevin;x;2
49;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3980;Kevin;x;2
