ID;concept:name;time:timestamp;case:concept:name;pName;error_case;error_reason
0;receive application;2021-11-02 23:54:23 +00:00;Trace 1;Hans;x;1
1;declined GDPR;2021-11-03 01:27:19 +00:00;Trace 1;Hans;x;1, 5
2;notify recruiter;2021-11-03 03:02:51 +00:00;Trace 1;Hans;x;1
3;review application;2021-11-03 04:25:21 +00:00;Trace 1;Hans;x;1
4;schedule interview and send invitation;2021-11-03 05:33:58 +00:00;Trace 1;Hans;x;1
5;await answer;2021-11-03 07:24:34 +00:00;Trace 1;Hans;x;1, 5
6;"Applicant rejected/
delete data";2021-11-03 09:11:47 +00:00;Trace 1;Hans;x;1
7;receive application;2021-11-03 00:27:40 +00:00;Trace 2;Peter;x;1
8;declined GDPR;2021-11-03 01:42:30 +00:00;Trace 2;Peter;x;1, 5
9;notify recruiter;2021-11-03 03:35:05 +00:00;Trace 2;Peter;x;1
10;review application;2021-11-03 04:56:09 +00:00;Trace 2;Peter;x;1
11;schedule interview and send invitation;2021-11-03 06:55:22 +00:00;Trace 2;Peter;x;1
12;await answer;2021-11-03 08:03:23 +00:00;Trace 2;Peter;x;1, 5
13;hold intervierw;2021-11-03 09:18:05 +00:00;Trace 2;Peter;x;1
14;send to assessment center;2021-11-03 10:47:40 +00:00;Trace 2;Peter;x;1
15;create and send offer;2021-11-03 12:07:54 +00:00;Trace 2;Peter;x;1
16;wait for answer to offer;2021-11-03 14:06:40 +00:00;Trace 2;Peter;x;1
17;Hire candidate;2021-11-03 15:25:50 +00:00;Trace 2;Peter;x;1
18;begin onboarding process;2021-11-03 17:21:37 +00:00;Trace 2;Peter;x;1
19;receive application;2021-11-02 23:46:38 +00:00;Trace 3;Julian;x;1
20;declined GDPR;2021-11-03 01:39:47 +00:00;Trace 3;Julian;x;1, 5
21;notify recruiter;2021-11-03 03:25:11 +00:00;Trace 3;Julian;x;1
22;review application;2021-11-03 05:01:50 +00:00;Trace 3;Julian;x;1
23;schedule interview and send invitation;2021-11-03 06:48:16 +00:00;Trace 3;Julian;x;1
24;await answer;2021-11-03 08:32:12 +00:00;Trace 3;Julian;x;1, 5
25;hold intervierw;2021-11-03 10:00:42 +00:00;Trace 3;Julian;x;1
26;send to assessment center;2021-11-03 11:58:33 +00:00;Trace 3;Julian;x;1
27;decline applicant in assesment center;2021-11-03 13:01:06 +00:00;Trace 3;Julian;x;1
28;receive application;2021-11-02 23:52:29 +00:00;Trace 4;Peter;x;1
29;declined GDPR;2021-11-03 01:18:12 +00:00;Trace 4;Peter;x;1, 5
30;notify recruiter;2021-11-03 03:16:35 +00:00;Trace 4;Peter;x;1
31;review application;2021-11-03 04:46:24 +00:00;Trace 4;Peter;x;1
32;delete data of applicant;2021-11-03 05:53:15 +00:00;Trace 4;Peter;x;1
33;receive application;2021-11-02 23:57:04 +00:00;Trace 5;Peter;x;1
34;declined GDPR;2021-11-03 01:22:30 +00:00;Trace 5;Peter;x;1, 5
35;notify recruiter;2021-11-03 02:25:22 +00:00;Trace 5;Peter;x;1
